City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,pingzhuang,42.0372,119.2889,-6.17,84,100,0.48,CN,1699908420
161,pacific grove,36.6177,-121.9166,18.45,74,0,4.92,US,1699908420
162,annau,37.8876,58.516,10.72,71,13,3.09,TM,1699908420
163,yerofey pavlovich,53.9667,121.9667,-9.35,62,100,0.66,RU,1699908420
164,klyuchi,52.2667,79.1667,4.47,90,100,4.57,RU,1699908421
165,chibougamau,49.9168,-74.3659,-3.21,80,100,4.12,CA,1699908421
166,cabo san lucas,22.8909,-109.9124,31.45,58,0,2.57,MX,1699908421
167,padang,-0.9492,100.3543,25.03,92,94,1.86,ID,1699908422
168,st. john's,47.5649,-52.7093,0.54,81,100,2.06,CA,1699908422
169,masterton,-40.9597,175.6575,13.82,53,71,3.93,NZ,1699908422
170,gaspar,-26.9314,-48.9589,25.58,96,100,0.76,BR,1699908422
171,kapa'a,22.0752,-159.319,28.99,68,20,7.72,US,1699908422
172,thurmont,39.6237,-77.4108,14.05,59,0,3.13,US,1699908423
173,toliara,-23.35,43.6667,21.8,79,9,4.96,MG,1699908424
174,mapimi,25.8167,-103.85,15.11,75,98,2.37,MX,1699908424
175,kununurra,-15.7667,128.7333,23.99,100,42,0.0,AU,1699908424
176,zouerate,22.7187,-12.4521,27.04,16,54,3.66,MR,1699908424
177,tsiombe,-25.3,45.4833,21.31,79,100,1.84,MG,1699908424
178,san matias,-16.3667,-58.4,35.8,34,87,2.68,BO,1699908425
179,belyy yar,53.6039,91.3903,-11.06,85,81,0.0,RU,1699908425
180,ha'il,27.5219,41.6907,22.01,46,0,0.0,SA,1699908425
181,porbandar,21.6422,69.6093,26.07,29,100,3.5,IN,1699908425
182,laguna,38.421,-121.4238,23.38,48,0,0.45,US,1699908426
183,antalaha,-14.9003,50.2788,22.41,88,42,1.55,MG,1699908426
184,chonchi,-42.6128,-73.8092,11.18,52,55,4.23,CL,1699908426
185,gorontalo,0.5412,123.0595,23.76,93,98,1.16,ID,1699908426
186,pisco,-13.7,-76.2167,21.68,78,0,3.6,PE,1699908426
187,gobabis,-22.45,18.9667,24.58,36,100,5.58,NA,1699908427
188,kargat,55.1956,80.2811,1.95,89,100,4.02,RU,1699908427
189,ulladulla,-35.35,150.4667,18.76,73,71,1.14,AU,1699908427
190,manokwari,-0.8667,134.0833,25.86,77,99,2.22,ID,1699908427
191,sierra grande,-41.606,-65.3557,21.78,17,100,9.94,AR,1699908427
192,port shepstone,-30.7414,30.455,17.76,82,100,5.56,ZA,1699908428
193,daru,-9.0763,143.2092,25.51,75,51,3.3,PG,1699908428
194,nizhneudinsk,54.9076,99.0276,-3.44,91,100,1.65,RU,1699908428
195,dalandzadgad,43.5708,104.425,-3.33,37,8,1.87,MN,1699908428
196,port lincoln,-34.7333,135.8667,14.05,84,100,4.74,AU,1699908429
197,saurimo,-9.6608,20.3916,17.78,93,42,0.99,AO,1699908429
198,kavieng,-2.5744,150.7967,27.47,72,100,0.78,PG,1699908429
199,lihue,21.9789,-159.3672,28.58,68,20,7.72,US,1699908429
200,cooma,-36.2333,149.1333,13.48,58,87,0.65,AU,1699908429
201,huancabamba,-5.2386,-79.4506,21.35,71,67,1.44,PE,1699908430
202,suva,-18.1416,178.4415,24.71,94,100,4.63,FJ,1699908430
203,kuqa,41.7278,82.9364,3.98,26,34,2.48,CN,1699908430
204,vernon,50.2581,-119.2691,10.16,82,100,1.34,CA,1699908430
205,watsa,3.0372,29.5355,18.71,98,100,0.34,CD,1699908430
206,cabinda,-5.55,12.2,27.08,89,40,1.03,AO,1699908431
207,tuyen quang,21.8233,105.2181,16.64,88,100,0.35,VN,1699908431
208,mazatlan,23.2167,-106.4167,31.06,64,20,2.57,MX,1699908431
209,porto novo,6.4965,2.6036,26.9,85,3,2.56,BJ,1699908431
210,happy valley-goose bay,53.3168,-60.3315,-0.83,69,75,3.09,CA,1699908431
211,puke,42.0444,19.8997,5.48,88,42,1.36,AL,1699908432
212,khovd,48.0056,91.6419,-5.31,90,100,1.18,MN,1699908432
213,lata,40.1629,-8.3327,16.07,93,51,1.36,PT,1699908432
214,greymouth,-42.4667,171.2,14.33,97,100,7.07,NZ,1699908432
215,tommot,58.9564,126.2925,-15.85,97,96,0.96,RU,1699908432
216,alofi,-19.0595,-169.9187,23.94,94,100,5.14,NU,1699908432
217,ballina,-28.8667,153.5667,19.32,74,50,0.7,AU,1699908432
218,kyzyl-suu,42.3414,78.0056,-1.96,59,1,4.23,KG,1699908433
219,jamestown,42.097,-79.2353,10.81,57,0,5.66,US,1699908433
220,aldan,58.6031,125.3894,-17.05,95,92,2.87,RU,1699908433
221,mahina,-17.5065,-149.489,29.87,74,75,2.06,PF,1699908433
222,codrington,-38.2667,141.9667,13.35,72,100,3.02,AU,1699908433
223,carutapera,-1.195,-46.02,26.68,75,26,3.64,BR,1699908434
224,rehoboth,-23.3167,17.0833,23.58,41,100,5.89,NA,1699908434
225,nicoya,10.1483,-85.452,28.54,80,78,0.57,CR,1699908434
226,wailua homesteads,22.0669,-159.378,28.24,68,20,7.72,US,1699908434
227,russellville,35.2784,-93.1338,21.66,34,0,2.57,US,1699908434
228,nha trang,12.25,109.1833,25.0,91,100,3.28,VN,1699908435
229,avarua,-21.2078,-159.775,24.03,64,20,4.63,CK,1699908435
230,puerto cabezas,14.0351,-83.3888,24.98,94,75,0.0,NI,1699908435
231,paso de ovejas,19.2833,-96.4333,26.57,59,77,4.68,MX,1699908435
232,umluj,25.0213,37.2685,27.78,68,100,2.08,SA,1699908436
233,pico truncado,-46.7949,-67.9573,12.66,30,82,15.62,AR,1699908436
234,lompoc,34.6391,-120.4579,24.32,61,0,5.81,US,1699908436
235,inhambane,-23.865,35.3833,22.74,69,92,6.07,MZ,1699908436
236,wotho,10.1657,166.0102,28.02,83,100,8.95,MH,1699908436
237,sao vicente,-23.9631,-46.3919,41.1,54,40,4.12,BR,1699908437
238,rome,34.257,-85.1647,21.37,44,0,3.09,US,1699908437
239,longyearbyen,78.2186,15.6401,-10.09,73,75,4.12,SJ,1699908437
240,riohacha,11.5444,-72.9072,34.06,59,20,5.14,CO,1699908437
241,ulan bator,47.9077,106.8832,-20.93,77,20,0.0,MN,1699908437
242,yantzaza,-3.8278,-78.7594,26.88,82,28,0.67,EC,1699908437
243,kristiansund,63.1115,7.732,0.36,69,0,3.09,NO,1699908437
244,simenqian,27.4872,110.8861,6.56,88,81,0.84,CN,1699908438
245,swakopmund,-22.6833,14.5333,15.47,88,12,1.53,NA,1699908438
246,hirara,24.8,125.2833,20.92,64,20,5.14,JP,1699908438
247,la mira,18.035,-102.3266,30.16,65,42,3.38,MX,1699908438
248,saipan,15.1355,145.701,28.39,83,20,6.69,MP,1699908438
249,dunedin,-45.8742,170.5036,14.02,74,53,2.46,NZ,1699908438
250,minas de marcona,-15.2119,-75.1103,16.56,78,74,6.8,PE,1699908439
251,kapit,2.0167,112.9333,23.18,100,98,0.44,MY,1699908439
252,labytnangi,66.6572,66.4183,-21.01,100,80,1.39,RU,1699908439
253,daund,18.4667,74.6,22.41,51,31,2.9,IN,1699908439
254,tol'yatti,53.5303,49.3461,7.04,83,100,6.89,RU,1699908440
255,saint-pierre,-21.3393,55.4781,21.98,68,20,3.6,RE,1699908440
256,vorkuta,67.5,64.0,-18.24,98,91,2.75,RU,1699908440
257,holualoa,19.6228,-155.9522,25.99,79,75,3.09,US,1699908440
258,raghunathpur,23.55,86.6667,19.86,51,25,2.08,IN,1699908441
259,tarko-sale,64.9225,77.785,-14.99,90,6,5.16,RU,1699908441
260,brisas barra de suchiate,14.55,-92.2167,29.48,75,9,2.36,MX,1699908441
261,langtang,9.1333,9.7833,27.2,30,96,1.34,NG,1699908441
262,yashkino,55.8736,85.4265,-0.1,98,100,3.75,RU,1699908442
263,lerwick,60.1545,-1.1494,8.0,73,98,8.98,GB,1699908442
264,marshfield,44.6689,-90.1718,12.49,37,0,6.69,US,1699908442
265,island harbour,50.724,-1.2758,13.85,85,39,4.47,GB,1699908442
266,kill devil hills,36.0307,-75.676,13.88,63,0,2.57,US,1699908442
267,sitangkai,4.6628,119.3928,28.46,74,20,2.77,PH,1699908443
268,petropavlovsk-kamchatsky,53.0452,158.6483,-3.08,74,0,12.52,RU,1699908443
269,newman,37.3138,-121.0208,22.38,27,10,2.47,US,1699908443
270,rikaze,29.25,88.8833,-0.98,58,6,1.53,CN,1699908443
271,sona,45.4388,10.8255,8.75,89,20,2.06,IT,1699908443
272,udachny,66.4167,112.4,-6.97,78,100,3.67,RU,1699908444
273,dryden,49.7833,-92.7503,3.16,65,0,3.6,CA,1699908444
274,helena valley west central,46.6629,-112.0604,16.7,41,84,0.45,US,1699908444
275,taltal,-25.4,-70.4833,19.42,61,16,3.62,CL,1699908444
276,at taj,24.2049,23.2857,19.45,29,0,5.13,LY,1699908444
277,egilsstadir,65.2653,-14.3948,2.95,87,75,3.6,IS,1699908445
278,kirakira,-10.4544,161.9205,26.48,81,61,2.33,SB,1699908445
279,rajgarh,28.6333,75.3833,20.6,34,100,2.22,IN,1699908445
280,mahanoro,-19.9,48.8,22.95,88,88,2.11,MG,1699908445
281,geraldton,-28.7667,114.6,21.23,83,100,3.6,AU,1699908445
282,hami,42.8,93.45,2.94,31,100,4.87,CN,1699908446
283,naze,28.3667,129.4833,15.51,65,96,4.09,JP,1699908446
284,port douglas,-16.4833,145.4667,23.07,71,68,1.88,AU,1699908446
285,malax,62.9423,21.5731,-0.63,95,100,4.12,FI,1699908446
286,klaksvik,62.2266,-6.589,7.51,80,45,11.37,FO,1699908446
287,empalme,27.9667,-110.8167,32.42,28,0,3.26,MX,1699908446
288,taseyevo,57.2169,94.8978,1.86,94,100,5.36,RU,1699908447
289,kem',64.9555,34.5793,-0.78,95,100,7.56,RU,1699908447
290,vorgashor,67.5833,63.95,-17.7,97,94,3.17,RU,1699908447
291,ranau,5.9538,116.6641,20.87,97,75,0.05,MY,1699908447
292,beloyarskiy,63.7119,66.6722,-11.67,95,100,1.79,RU,1699908447
293,auki,-8.7676,160.7034,26.44,81,76,1.47,SB,1699908448
294,zalanga,10.6143,10.1765,25.88,19,100,2.27,NG,1699908448
295,basco,20.4487,121.9702,25.53,73,86,12.67,PH,1699908448
296,kisangani,0.5167,25.2,21.74,98,80,0.54,CD,1699908448
297,natal,-5.795,-35.2094,29.36,74,40,6.17,BR,1699908449
298,namibe,-15.1961,12.1522,23.06,67,100,4.06,AO,1699908449
299,howard springs,-12.497,131.047,26.01,88,28,1.39,AU,1699908449
300,la passe,45.5549,-0.8967,17.13,94,100,7.11,FR,1699908449
301,gadzhiyevo,69.2551,33.3362,-8.3,94,100,0.91,RU,1699908449
302,maamba,-17.3667,27.15,27.23,26,9,1.32,ZM,1699908450
303,ilulissat,69.2167,-51.1,-4.99,63,75,7.2,GL,1699908450
304,essaouira,31.5125,-9.77,21.72,40,40,0.51,MA,1699908450
305,galle,6.0367,80.217,25.17,87,100,1.9,LK,1699908450
306,ilha de mocambique,-15.0342,40.7358,26.39,83,100,2.73,MZ,1699908450
307,mount isa,-20.7333,139.5,17.87,82,3,0.0,AU,1699908451
